SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,SepalLengthCm_Ry,SepalWidthCm_Ry,PetalLengthCm_Ry,PetalWidthCm_Ry
5.4,3.7,1.5,0.2,"[[ 0.99888987 -0.04710645]
 [ 0.04710645  0.99888987]]","[[ 0.99947877 -0.03228298]
 [ 0.03228298  0.99947877]]","[[ 0.99991433 -0.0130896 ]
 [ 0.0130896   0.99991433]]","[[ 0.99999848 -0.00174533]
 [ 0.00174533  0.99999848]]"
4.8,3.4,1.6,0.2,"[[ 0.99912283 -0.04187565]
 [ 0.04187565  0.99912283]]","[[ 0.99955986 -0.02966624]
 [ 0.02966624  0.99955986]]","[[ 0.99990252 -0.01396218]
 [ 0.01396218  0.99990252]]","[[ 0.99999848 -0.00174533]
 [ 0.00174533  0.99999848]]"
4.8,3.0,1.4,0.1,"[[ 0.99912283 -0.04187565]
 [ 0.04187565  0.99912283]]","[[ 0.99965732 -0.02617695]
 [ 0.02617695  0.99965732]]","[[ 0.99992537 -0.012217  ]
 [ 0.012217    0.99992537]]","[[ 9.99999619e-01 -8.72664515e-04]
 [ 8.72664515e-04  9.99999619e-01]]"
4.3,3.0,1.1,0.1,"[[ 0.99929604 -0.03751577]
 [ 0.03751577  0.99929604]]","[[ 0.99965732 -0.02617695]
 [ 0.02617695  0.99965732]]","[[ 0.99995393 -0.00959916]
 [ 0.00959916  0.99995393]]","[[ 9.99999619e-01 -8.72664515e-04]
 [ 8.72664515e-04  9.99999619e-01]]"
5.8,4.0,1.2,0.2,"[[ 0.99871936 -0.05059294]
 [ 0.05059294  0.99871936]]","[[ 0.99939083 -0.0348995 ]
 [ 0.0348995   0.99939083]]","[[ 0.99994517 -0.01047178]
 [ 0.01047178  0.99994517]]","[[ 0.99999848 -0.00174533]
 [ 0.00174533  0.99999848]]"
5.7,4.4,1.5,0.4,"[[ 0.99876313 -0.04972137]
 [ 0.04972137  0.99876313]]","[[ 0.99926292 -0.03838781]
 [ 0.03838781  0.99926292]]","[[ 0.99991433 -0.0130896 ]
 [ 0.0130896   0.99991433]]","[[ 0.99999391 -0.00349065]
 [ 0.00349065  0.99999391]]"
5.4,3.9,1.3,0.4,"[[ 0.99888987 -0.04710645]
 [ 0.04710645  0.99888987]]","[[ 0.9994209  -0.03402735]
 [ 0.03402735  0.9994209 ]]","[[ 0.99993565 -0.0113444 ]
 [ 0.0113444   0.99993565]]","[[ 0.99999391 -0.00349065]
 [ 0.00349065  0.99999391]]"
5.1,3.5,1.4,0.3,"[[ 0.99900978 -0.0444912 ]
 [ 0.0444912   0.99900978]]","[[ 0.99953359 -0.03053851]
 [ 0.03053851  0.99953359]]","[[ 0.99992537 -0.012217  ]
 [ 0.012217    0.99992537]]","[[ 0.99999657 -0.00261799]
 [ 0.00261799  0.99999657]]"
5.7,3.8,1.7,0.3,"[[ 0.99876313 -0.04972137]
 [ 0.04972137  0.99876313]]","[[ 0.99945022 -0.03315518]
 [ 0.03315518  0.99945022]]","[[ 0.99988996 -0.01483475]
 [ 0.01483475  0.99988996]]","[[ 0.99999657 -0.00261799]
 [ 0.00261799  0.99999657]]"
5.1,3.8,1.5,0.3,"[[ 0.99900978 -0.0444912 ]
 [ 0.0444912   0.99900978]]","[[ 0.99945022 -0.03315518]
 [ 0.03315518  0.99945022]]","[[ 0.99991433 -0.0130896 ]
 [ 0.0130896   0.99991433]]","[[ 0.99999657 -0.00261799]
 [ 0.00261799  0.99999657]]"
5.4,3.4,1.7,0.2,"[[ 0.99888987 -0.04710645]
 [ 0.04710645  0.99888987]]","[[ 0.99955986 -0.02966624]
 [ 0.02966624  0.99955986]]","[[ 0.99988996 -0.01483475]
 [ 0.01483475  0.99988996]]","[[ 0.99999848 -0.00174533]
 [ 0.00174533  0.99999848]]"
5.1,3.7,1.5,0.4,"[[ 0.99900978 -0.0444912 ]
 [ 0.0444912   0.99900978]]","[[ 0.99947877 -0.03228298]
 [ 0.03228298  0.99947877]]","[[ 0.99991433 -0.0130896 ]
 [ 0.0130896   0.99991433]]","[[ 0.99999391 -0.00349065]
 [ 0.00349065  0.99999391]]"
4.6,3.6,1.0,0.2,"[[ 0.9991944  -0.04013179]
 [ 0.04013179  0.9991944 ]]","[[ 0.99950656 -0.03141076]
 [ 0.03141076  0.99950656]]","[[ 0.99996192 -0.00872654]
 [ 0.00872654  0.99996192]]","[[ 0.99999848 -0.00174533]
 [ 0.00174533  0.99999848]]"
5.1,3.3,1.7,0.5,"[[ 0.99900978 -0.0444912 ]
 [ 0.0444912   0.99900978]]","[[ 0.99958537 -0.02879395]
 [ 0.02879395  0.99958537]]","[[ 0.99988996 -0.01483475]
 [ 0.01483475  0.99988996]]","[[ 0.99999048 -0.00436331]
 [ 0.00436331  0.99999048]]"
4.8,3.4,1.9,0.2,"[[ 0.99912283 -0.04187565]
 [ 0.04187565  0.99912283]]","[[ 0.99955986 -0.02966624]
 [ 0.02966624  0.99955986]]","[[ 0.99986254 -0.01657987]
 [ 0.01657987  0.99986254]]","[[ 0.99999848 -0.00174533]
 [ 0.00174533  0.99999848]]"
5.0,3.0,1.6,0.2,"[[ 0.99904822 -0.04361939]
 [ 0.04361939  0.99904822]]","[[ 0.99965732 -0.02617695]
 [ 0.02617695  0.99965732]]","[[ 0.99990252 -0.01396218]
 [ 0.01396218  0.99990252]]","[[ 0.99999848 -0.00174533]
 [ 0.00174533  0.99999848]]"
5.0,3.4,1.6,0.4,"[[ 0.99904822 -0.04361939]
 [ 0.04361939  0.99904822]]","[[ 0.99955986 -0.02966624]
 [ 0.02966624  0.99955986]]","[[ 0.99990252 -0.01396218]
 [ 0.01396218  0.99990252]]","[[ 0.99999391 -0.00349065]
 [ 0.00349065  0.99999391]]"
5.2,3.5,1.5,0.2,"[[ 0.99897057 -0.04536299]
 [ 0.04536299  0.99897057]]","[[ 0.99953359 -0.03053851]
 [ 0.03053851  0.99953359]]","[[ 0.99991433 -0.0130896 ]
 [ 0.0130896   0.99991433]]","[[ 0.99999848 -0.00174533]
 [ 0.00174533  0.99999848]]"
5.2,3.4,1.4,0.2,"[[ 0.99897057 -0.04536299]
 [ 0.04536299  0.99897057]]","[[ 0.99955986 -0.02966624]
 [ 0.02966624  0.99955986]]","[[ 0.99992537 -0.012217  ]
 [ 0.012217    0.99992537]]","[[ 0.99999848 -0.00174533]
 [ 0.00174533  0.99999848]]"
4.7,3.2,1.6,0.2,"[[ 0.99915899 -0.04100374]
 [ 0.04100374  0.99915899]]","[[ 0.99961012 -0.02792164]
 [ 0.02792164  0.99961012]]","[[ 0.99990252 -0.01396218]
 [ 0.01396218  0.99990252]]","[[ 0.99999848 -0.00174533]
 [ 0.00174533  0.99999848]]"
4.8,3.1,1.6,0.2,"[[ 0.99912283 -0.04187565]
 [ 0.04187565  0.99912283]]","[[ 0.9996341 -0.0270493]
 [ 0.0270493  0.9996341]]","[[ 0.99990252 -0.01396218]
 [ 0.01396218  0.99990252]]","[[ 0.99999848 -0.00174533]
 [ 0.00174533  0.99999848]]"
5.4,3.4,1.5,0.4,"[[ 0.99888987 -0.04710645]
 [ 0.04710645  0.99888987]]","[[ 0.99955986 -0.02966624]
 [ 0.02966624  0.99955986]]","[[ 0.99991433 -0.0130896 ]
 [ 0.0130896   0.99991433]]","[[ 0.99999391 -0.00349065]
 [ 0.00349065  0.99999391]]"
5.2,4.1,1.5,0.1,"[[ 0.99897057 -0.04536299]
 [ 0.04536299  0.99897057]]","[[ 0.99935999 -0.03577162]
 [ 0.03577162  0.99935999]]","[[ 0.99991433 -0.0130896 ]
 [ 0.0130896   0.99991433]]","[[ 9.99999619e-01 -8.72664515e-04]
 [ 8.72664515e-04  9.99999619e-01]]"
5.5,4.2,1.4,0.2,"[[ 0.99884839 -0.04797813]
 [ 0.04797813  0.99884839]]","[[ 0.99932839 -0.03664371]
 [ 0.03664371  0.99932839]]","[[ 0.99992537 -0.012217  ]
 [ 0.012217    0.99992537]]","[[ 0.99999848 -0.00174533]
 [ 0.00174533  0.99999848]]"
4.9,3.1,1.5,0.1,"[[ 0.99908591 -0.04274754]
 [ 0.04274754  0.99908591]]","[[ 0.9996341 -0.0270493]
 [ 0.0270493  0.9996341]]","[[ 0.99991433 -0.0130896 ]
 [ 0.0130896   0.99991433]]","[[ 9.99999619e-01 -8.72664515e-04]
 [ 8.72664515e-04  9.99999619e-01]]"
5.0,3.2,1.2,0.2,"[[ 0.99904822 -0.04361939]
 [ 0.04361939  0.99904822]]","[[ 0.99961012 -0.02792164]
 [ 0.02792164  0.99961012]]","[[ 0.99994517 -0.01047178]
 [ 0.01047178  0.99994517]]","[[ 0.99999848 -0.00174533]
 [ 0.00174533  0.99999848]]"
5.5,3.5,1.3,0.2,"[[ 0.99884839 -0.04797813]
 [ 0.04797813  0.99884839]]","[[ 0.99953359 -0.03053851]
 [ 0.03053851  0.99953359]]","[[ 0.99993565 -0.0113444 ]
 [ 0.0113444   0.99993565]]","[[ 0.99999848 -0.00174533]
 [ 0.00174533  0.99999848]]"
4.9,3.1,1.5,0.1,"[[ 0.99908591 -0.04274754]
 [ 0.04274754  0.99908591]]","[[ 0.9996341 -0.0270493]
 [ 0.0270493  0.9996341]]","[[ 0.99991433 -0.0130896 ]
 [ 0.0130896   0.99991433]]","[[ 9.99999619e-01 -8.72664515e-04]
 [ 8.72664515e-04  9.99999619e-01]]"
4.4,3.0,1.3,0.2,"[[ 0.99926292 -0.03838781]
 [ 0.03838781  0.99926292]]","[[ 0.99965732 -0.02617695]
 [ 0.02617695  0.99965732]]","[[ 0.99993565 -0.0113444 ]
 [ 0.0113444   0.99993565]]","[[ 0.99999848 -0.00174533]
 [ 0.00174533  0.99999848]]"
5.1,3.4,1.5,0.2,"[[ 0.99900978 -0.0444912 ]
 [ 0.0444912   0.99900978]]","[[ 0.99955986 -0.02966624]
 [ 0.02966624  0.99955986]]","[[ 0.99991433 -0.0130896 ]
 [ 0.0130896   0.99991433]]","[[ 0.99999848 -0.00174533]
 [ 0.00174533  0.99999848]]"
5.0,3.5,1.3,0.3,"[[ 0.99904822 -0.04361939]
 [ 0.04361939  0.99904822]]","[[ 0.99953359 -0.03053851]
 [ 0.03053851  0.99953359]]","[[ 0.99993565 -0.0113444 ]
 [ 0.0113444   0.99993565]]","[[ 0.99999657 -0.00261799]
 [ 0.00261799  0.99999657]]"
4.5,2.3,1.3,0.3,"[[ 0.99922904 -0.03925982]
 [ 0.03925982  0.99922904]]","[[ 0.99979858 -0.02006994]
 [ 0.02006994  0.99979858]]","[[ 0.99993565 -0.0113444 ]
 [ 0.0113444   0.99993565]]","[[ 0.99999657 -0.00261799]
 [ 0.00261799  0.99999657]]"
4.4,3.2,1.3,0.2,"[[ 0.99926292 -0.03838781]
 [ 0.03838781  0.99926292]]","[[ 0.99961012 -0.02792164]
 [ 0.02792164  0.99961012]]","[[ 0.99993565 -0.0113444 ]
 [ 0.0113444   0.99993565]]","[[ 0.99999848 -0.00174533]
 [ 0.00174533  0.99999848]]"
5.0,3.5,1.6,0.6,"[[ 0.99904822 -0.04361939]
 [ 0.04361939  0.99904822]]","[[ 0.99953359 -0.03053851]
 [ 0.03053851  0.99953359]]","[[ 0.99990252 -0.01396218]
 [ 0.01396218  0.99990252]]","[[ 0.99998629 -0.00523596]
 [ 0.00523596  0.99998629]]"
5.1,3.8,1.9,0.4,"[[ 0.99900978 -0.0444912 ]
 [ 0.0444912   0.99900978]]","[[ 0.99945022 -0.03315518]
 [ 0.03315518  0.99945022]]","[[ 0.99986254 -0.01657987]
 [ 0.01657987  0.99986254]]","[[ 0.99999391 -0.00349065]
 [ 0.00349065  0.99999391]]"
4.8,3.0,1.4,0.3,"[[ 0.99912283 -0.04187565]
 [ 0.04187565  0.99912283]]","[[ 0.99965732 -0.02617695]
 [ 0.02617695  0.99965732]]","[[ 0.99992537 -0.012217  ]
 [ 0.012217    0.99992537]]","[[ 0.99999657 -0.00261799]
 [ 0.00261799  0.99999657]]"
5.1,3.8,1.6,0.2,"[[ 0.99900978 -0.0444912 ]
 [ 0.0444912   0.99900978]]","[[ 0.99945022 -0.03315518]
 [ 0.03315518  0.99945022]]","[[ 0.99990252 -0.01396218]
 [ 0.01396218  0.99990252]]","[[ 0.99999848 -0.00174533]
 [ 0.00174533  0.99999848]]"
4.6,3.2,1.4,0.2,"[[ 0.9991944  -0.04013179]
 [ 0.04013179  0.9991944 ]]","[[ 0.99961012 -0.02792164]
 [ 0.02792164  0.99961012]]","[[ 0.99992537 -0.012217  ]
 [ 0.012217    0.99992537]]","[[ 0.99999848 -0.00174533]
 [ 0.00174533  0.99999848]]"
5.3,3.7,1.5,0.2,"[[ 0.9989306  -0.04623474]
 [ 0.04623474  0.9989306 ]]","[[ 0.99947877 -0.03228298]
 [ 0.03228298  0.99947877]]","[[ 0.99991433 -0.0130896 ]
 [ 0.0130896   0.99991433]]","[[ 0.99999848 -0.00174533]
 [ 0.00174533  0.99999848]]"
5.0,3.3,1.4,0.2,"[[ 0.99904822 -0.04361939]
 [ 0.04361939  0.99904822]]","[[ 0.99958537 -0.02879395]
 [ 0.02879395  0.99958537]]","[[ 0.99992537 -0.012217  ]
 [ 0.012217    0.99992537]]","[[ 0.99999848 -0.00174533]
 [ 0.00174533  0.99999848]]"
7.0,3.2,4.7,1.4,"[[ 0.9981348  -0.06104854]
 [ 0.06104854  0.9981348 ]]","[[ 0.99961012 -0.02792164]
 [ 0.02792164  0.99961012]]","[[ 0.99915899 -0.04100374]
 [ 0.04100374  0.99915899]]","[[ 0.99992537 -0.012217  ]
 [ 0.012217    0.99992537]]"
6.4,3.2,4.5,1.5,"[[ 0.99844076 -0.0558215 ]
 [ 0.0558215   0.99844076]]","[[ 0.99961012 -0.02792164]
 [ 0.02792164  0.99961012]]","[[ 0.99922904 -0.03925982]
 [ 0.03925982  0.99922904]]","[[ 0.99991433 -0.0130896 ]
 [ 0.0130896   0.99991433]]"
6.9,3.1,4.9,1.5,"[[ 0.99818769 -0.06017748]
 [ 0.06017748  0.99818769]]","[[ 0.9996341 -0.0270493]
 [ 0.0270493  0.9996341]]","[[ 0.99908591 -0.04274754]
 [ 0.04274754  0.99908591]]","[[ 0.99991433 -0.0130896 ]
 [ 0.0130896   0.99991433]]"
5.5,2.3,4.0,1.3,"[[ 0.99884839 -0.04797813]
 [ 0.04797813  0.99884839]]","[[ 0.99979858 -0.02006994]
 [ 0.02006994  0.99979858]]","[[ 0.99939083 -0.0348995 ]
 [ 0.0348995   0.99939083]]","[[ 0.99993565 -0.0113444 ]
 [ 0.0113444   0.99993565]]"
6.5,2.8,4.6,1.5,"[[ 0.99839167 -0.05669279]
 [ 0.05669279  0.99839167]]","[[ 0.99970149 -0.02443218]
 [ 0.02443218  0.99970149]]","[[ 0.9991944  -0.04013179]
 [ 0.04013179  0.9991944 ]]","[[ 0.99991433 -0.0130896 ]
 [ 0.0130896   0.99991433]]"
5.7,2.8,4.5,1.3,"[[ 0.99876313 -0.04972137]
 [ 0.04972137  0.99876313]]","[[ 0.99970149 -0.02443218]
 [ 0.02443218  0.99970149]]","[[ 0.99922904 -0.03925982]
 [ 0.03925982  0.99922904]]","[[ 0.99993565 -0.0113444 ]
 [ 0.0113444   0.99993565]]"
6.3,3.3,4.7,1.6,"[[ 0.9984891  -0.05495018]
 [ 0.05495018  0.9984891 ]]","[[ 0.99958537 -0.02879395]
 [ 0.02879395  0.99958537]]","[[ 0.99915899 -0.04100374]
 [ 0.04100374  0.99915899]]","[[ 0.99990252 -0.01396218]
 [ 0.01396218  0.99990252]]"
4.9,2.4,3.3,1.0,"[[ 0.99908591 -0.04274754]
 [ 0.04274754  0.99908591]]","[[ 0.99978068 -0.02094242]
 [ 0.02094242  0.99978068]]","[[ 0.99958537 -0.02879395]
 [ 0.02879395  0.99958537]]","[[ 0.99996192 -0.00872654]
 [ 0.00872654  0.99996192]]"
6.6,2.9,4.6,1.3,"[[ 0.99834182 -0.05756403]
 [ 0.05756403  0.99834182]]","[[ 0.99967979 -0.02530457]
 [ 0.02530457  0.99967979]]","[[ 0.9991944  -0.04013179]
 [ 0.04013179  0.9991944 ]]","[[ 0.99993565 -0.0113444 ]
 [ 0.0113444   0.99993565]]"
5.2,2.7,3.9,1.4,"[[ 0.99897057 -0.04536299]
 [ 0.04536299  0.99897057]]","[[ 0.99972243 -0.02355976]
 [ 0.02355976  0.99972243]]","[[ 0.9994209  -0.03402735]
 [ 0.03402735  0.9994209 ]]","[[ 0.99992537 -0.012217  ]
 [ 0.012217    0.99992537]]"
5.0,2.0,3.5,1.0,"[[ 0.99904822 -0.04361939]
 [ 0.04361939  0.99904822]]","[[ 0.9998477  -0.01745241]
 [ 0.01745241  0.9998477 ]]","[[ 0.99953359 -0.03053851]
 [ 0.03053851  0.99953359]]","[[ 0.99996192 -0.00872654]
 [ 0.00872654  0.99996192]]"
5.9,3.0,4.2,1.5,"[[ 0.99867483 -0.05146447]
 [ 0.05146447  0.99867483]]","[[ 0.99965732 -0.02617695]
 [ 0.02617695  0.99965732]]","[[ 0.99932839 -0.03664371]
 [ 0.03664371  0.99932839]]","[[ 0.99991433 -0.0130896 ]
 [ 0.0130896   0.99991433]]"
6.0,2.2,4.0,1.0,"[[ 0.99862953 -0.05233596]
 [ 0.05233596  0.99862953]]","[[ 0.99981571 -0.01919744]
 [ 0.01919744  0.99981571]]","[[ 0.99939083 -0.0348995 ]
 [ 0.0348995   0.99939083]]","[[ 0.99996192 -0.00872654]
 [ 0.00872654  0.99996192]]"
6.1,2.9,4.7,1.4,"[[ 0.99858348 -0.0532074 ]
 [ 0.0532074   0.99858348]]","[[ 0.99967979 -0.02530457]
 [ 0.02530457  0.99967979]]","[[ 0.99915899 -0.04100374]
 [ 0.04100374  0.99915899]]","[[ 0.99992537 -0.012217  ]
 [ 0.012217    0.99992537]]"
5.6,2.9,3.6,1.3,"[[ 0.99880614 -0.04884977]
 [ 0.04884977  0.99880614]]","[[ 0.99967979 -0.02530457]
 [ 0.02530457  0.99967979]]","[[ 0.99950656 -0.03141076]
 [ 0.03141076  0.99950656]]","[[ 0.99993565 -0.0113444 ]
 [ 0.0113444   0.99993565]]"
6.7,3.1,4.4,1.4,"[[ 0.9982912  -0.05843522]
 [ 0.05843522  0.9982912 ]]","[[ 0.9996341 -0.0270493]
 [ 0.0270493  0.9996341]]","[[ 0.99926292 -0.03838781]
 [ 0.03838781  0.99926292]]","[[ 0.99992537 -0.012217  ]
 [ 0.012217    0.99992537]]"
5.6,3.0,4.5,1.5,"[[ 0.99880614 -0.04884977]
 [ 0.04884977  0.99880614]]","[[ 0.99965732 -0.02617695]
 [ 0.02617695  0.99965732]]","[[ 0.99922904 -0.03925982]
 [ 0.03925982  0.99922904]]","[[ 0.99991433 -0.0130896 ]
 [ 0.0130896   0.99991433]]"
5.8,2.7,4.1,1.0,"[[ 0.99871936 -0.05059294]
 [ 0.05059294  0.99871936]]","[[ 0.99972243 -0.02355976]
 [ 0.02355976  0.99972243]]","[[ 0.99935999 -0.03577162]
 [ 0.03577162  0.99935999]]","[[ 0.99996192 -0.00872654]
 [ 0.00872654  0.99996192]]"
6.2,2.2,4.5,1.5,"[[ 0.99853667 -0.05407881]
 [ 0.05407881  0.99853667]]","[[ 0.99981571 -0.01919744]
 [ 0.01919744  0.99981571]]","[[ 0.99922904 -0.03925982]
 [ 0.03925982  0.99922904]]","[[ 0.99991433 -0.0130896 ]
 [ 0.0130896   0.99991433]]"
5.6,2.5,3.9,1.1,"[[ 0.99880614 -0.04884977]
 [ 0.04884977  0.99880614]]","[[ 0.99976203 -0.02181489]
 [ 0.02181489  0.99976203]]","[[ 0.9994209  -0.03402735]
 [ 0.03402735  0.9994209 ]]","[[ 0.99995393 -0.00959916]
 [ 0.00959916  0.99995393]]"
5.9,3.2,4.8,1.8,"[[ 0.99867483 -0.05146447]
 [ 0.05146447  0.99867483]]","[[ 0.99961012 -0.02792164]
 [ 0.02792164  0.99961012]]","[[ 0.99912283 -0.04187565]
 [ 0.04187565  0.99912283]]","[[ 0.99987663 -0.01570732]
 [ 0.01570732  0.99987663]]"
6.1,2.8,4.0,1.3,"[[ 0.99858348 -0.0532074 ]
 [ 0.0532074   0.99858348]]","[[ 0.99970149 -0.02443218]
 [ 0.02443218  0.99970149]]","[[ 0.99939083 -0.0348995 ]
 [ 0.0348995   0.99939083]]","[[ 0.99993565 -0.0113444 ]
 [ 0.0113444   0.99993565]]"
6.3,2.5,4.9,1.5,"[[ 0.9984891  -0.05495018]
 [ 0.05495018  0.9984891 ]]","[[ 0.99976203 -0.02181489]
 [ 0.02181489  0.99976203]]","[[ 0.99908591 -0.04274754]
 [ 0.04274754  0.99908591]]","[[ 0.99991433 -0.0130896 ]
 [ 0.0130896   0.99991433]]"
6.1,2.8,4.7,1.2,"[[ 0.99858348 -0.0532074 ]
 [ 0.0532074   0.99858348]]","[[ 0.99970149 -0.02443218]
 [ 0.02443218  0.99970149]]","[[ 0.99915899 -0.04100374]
 [ 0.04100374  0.99915899]]","[[ 0.99994517 -0.01047178]
 [ 0.01047178  0.99994517]]"
6.4,2.9,4.3,1.3,"[[ 0.99844076 -0.0558215 ]
 [ 0.0558215   0.99844076]]","[[ 0.99967979 -0.02530457]
 [ 0.02530457  0.99967979]]","[[ 0.99929604 -0.03751577]
 [ 0.03751577  0.99929604]]","[[ 0.99993565 -0.0113444 ]
 [ 0.0113444   0.99993565]]"
6.6,3.0,4.4,1.4,"[[ 0.99834182 -0.05756403]
 [ 0.05756403  0.99834182]]","[[ 0.99965732 -0.02617695]
 [ 0.02617695  0.99965732]]","[[ 0.99926292 -0.03838781]
 [ 0.03838781  0.99926292]]","[[ 0.99992537 -0.012217  ]
 [ 0.012217    0.99992537]]"
6.8,2.8,4.8,1.4,"[[ 0.99823983 -0.05930637]
 [ 0.05930637  0.99823983]]","[[ 0.99970149 -0.02443218]
 [ 0.02443218  0.99970149]]","[[ 0.99912283 -0.04187565]
 [ 0.04187565  0.99912283]]","[[ 0.99992537 -0.012217  ]
 [ 0.012217    0.99992537]]"
6.7,3.0,5.0,1.7,"[[ 0.9982912  -0.05843522]
 [ 0.05843522  0.9982912 ]]","[[ 0.99965732 -0.02617695]
 [ 0.02617695  0.99965732]]","[[ 0.99904822 -0.04361939]
 [ 0.04361939  0.99904822]]","[[ 0.99988996 -0.01483475]
 [ 0.01483475  0.99988996]]"
6.0,2.9,4.5,1.5,"[[ 0.99862953 -0.05233596]
 [ 0.05233596  0.99862953]]","[[ 0.99967979 -0.02530457]
 [ 0.02530457  0.99967979]]","[[ 0.99922904 -0.03925982]
 [ 0.03925982  0.99922904]]","[[ 0.99991433 -0.0130896 ]
 [ 0.0130896   0.99991433]]"
5.7,2.6,3.5,1.0,"[[ 0.99876313 -0.04972137]
 [ 0.04972137  0.99876313]]","[[ 0.99974261 -0.02268733]
 [ 0.02268733  0.99974261]]","[[ 0.99953359 -0.03053851]
 [ 0.03053851  0.99953359]]","[[ 0.99996192 -0.00872654]
 [ 0.00872654  0.99996192]]"
5.5,2.4,3.8,1.1,"[[ 0.99884839 -0.04797813]
 [ 0.04797813  0.99884839]]","[[ 0.99978068 -0.02094242]
 [ 0.02094242  0.99978068]]","[[ 0.99945022 -0.03315518]
 [ 0.03315518  0.99945022]]","[[ 0.99995393 -0.00959916]
 [ 0.00959916  0.99995393]]"
5.5,2.4,3.7,1.0,"[[ 0.99884839 -0.04797813]
 [ 0.04797813  0.99884839]]","[[ 0.99978068 -0.02094242]
 [ 0.02094242  0.99978068]]","[[ 0.99947877 -0.03228298]
 [ 0.03228298  0.99947877]]","[[ 0.99996192 -0.00872654]
 [ 0.00872654  0.99996192]]"
5.8,2.7,3.9,1.2,"[[ 0.99871936 -0.05059294]
 [ 0.05059294  0.99871936]]","[[ 0.99972243 -0.02355976]
 [ 0.02355976  0.99972243]]","[[ 0.9994209  -0.03402735]
 [ 0.03402735  0.9994209 ]]","[[ 0.99994517 -0.01047178]
 [ 0.01047178  0.99994517]]"
6.0,2.7,5.1,1.6,"[[ 0.99862953 -0.05233596]
 [ 0.05233596  0.99862953]]","[[ 0.99972243 -0.02355976]
 [ 0.02355976  0.99972243]]","[[ 0.99900978 -0.0444912 ]
 [ 0.0444912   0.99900978]]","[[ 0.99990252 -0.01396218]
 [ 0.01396218  0.99990252]]"
